"item_type","id","parent_id","epico","feature","user_story","task","title","tipo","prioridade","marco","responsavel","estimativa","dependencias","rastreabilidade","labels","objetivo","criterios_de_aceite","dod","assistencia_ia"
"user_story","V1-102","E1","","","V1-102 — Implementar tenants, workspaces, papéis e RLS lógico","","Implementar tenants, workspaces, papéis e RLS lógico","Feature / Administração","P0","M0–M1","Backend TypeScript / DBA","L","V1-101, V1-701","RF-003; RF-026; H-017","`tenant`, `workspace`, `rbac`, `rls`, `p0`","Permitir que a empresa organize áreas, usuários, owners e gestores sem permitir atravessamento de tenant ou ampliação indevida de permissão.","1. **Dado** um administrador autorizado, **quando** criar ou arquivar um workspace, **então** membros, owner, domínio, classificação padrão e policy vinculada serão registrados.
2. **Dado** que um usuário pertença a um workspace, **quando** consultar dados, **então** só poderá acessar registros compatíveis com tenant, workspace, papel e classificação.
3. **Dado** um usuário com papel de gestor, **quando** alterar uma regra, **então** só poderá restringir o escopo permitido e não poderá reabrir uma negação global.
**DoD específico.** CRUD admin, RLS no banco, testes cross-tenant e matriz de papéis.
**Assistência de IA.** Codex gera testes de autorização; DBA e Segurança revisam políticas RLS e casos de escape.","",""
"user_story","V1-103","E1","","","V1-103 — Implementar Policy Engine e EffectivePolicy fail-closed","","Implementar Policy Engine e EffectivePolicy fail-closed","Feature / Segurança / Backend TypeScript","P0","M1","Backend TypeScript / Segurança","XL","V1-101, V1-102, V1-104, V1-701","RF-009; RF-021; RN-001–RN-003; H-014","`policy`, `fail-closed`, `authorization`, `p0`","Calcular a política efetiva por usuário, tenant, workspace, dispositivo, fonte, modelo, ferramenta, ação, classificação e budget.","1. **Dado** políticas global, tenant, workspace e papel, **quando** a `EffectivePolicy` for calculada, **então** a composição será monotônica e carregará origem, versão, decisão e motivos de negação.
2. **Dado** ausência, conflito, timeout, cache inválido ou revogação, **quando** uma operação for avaliada, **então** chat, retrieval, insight e ação serão bloqueados de forma auditável.
3. **Dado** um payload adulterado pelo cliente, **quando** chegar ao gateway, **então** o servidor ignorará permissões declaradas no payload e recalculará o escopo.
**DoD específico.** Engine isolado, contrato `EffectivePolicy`, cache versionado, testes de propriedade e matriz de falhas.
**Assistência de IA.** Claude pode revisar regras; Codex implementa cenários. Segurança e Requisitos aprovam a semântica, não apenas o código.","",""
"user_story","V1-104","E1","","","V1-104 — Administrar catálogo de modelos, ferramentas, capacidades e permissões","","Administrar catálogo de modelos, ferramentas, capacidades e permissões","Feature / Painel Admin","P0","M1","Backend TypeScript / Frontend","L","V1-102, V1-103, V1-303, V1-601","RF-008; RF-036; H-013; H-018; H-023","`admin`, `catalog`, `providers`, `mcp`, `p0`","Expor um catálogo efetivo de modelos, providers, MCPs, skills e capacidades como Bash/Read/Write, com estado, owner, risco e permissões.","1. **Dado** um item de catálogo, **quando** for publicado, **então** terá identificador estável, capacidades, limites, classificação, custo, owner, versão, estado e justificativa.
2. **Dado** uma política por workspace, **quando** o cliente receber o catálogo, **então** visualizará somente itens autorizados e não poderá habilitar um item negado via UI ou request adulterado.
3. **Dado** uma capacidade de alto risco, **quando** for habilitada, **então** exigirá risco, justificativa, sandbox e aprovação correspondente.
**DoD específico.** API, UI, versionamento, estados de aprovação e testes de autorização.
**Assistência de IA.** Gemini pode apoiar a documentação de capacidades; Segurança aprova riscos e permissões.","",""
"user_story","V1-105","E1","","","V1-105 — Criar simulador, aprovação e rollback de políticas","","Criar simulador, aprovação e rollback de políticas","Feature / Governança","P1","M1","Backend TypeScript / UX Admin","L","V1-103, V1-104, V1-306","RF-009; RN-026; H-022","`policy`, `simulation`, `approval`, `p1`","Permitir que administradores visualizem o impacto de uma mudança antes da publicação e revertam políticas sem apagar histórico.","1. **Dado** uma alteração proposta, **quando** o simulador for executado, **então** exibirá política antes/depois, usuários afetados, modelos, fontes, ferramentas, ações e impacto estimado no budget.
2. **Dado** uma mudança de alto risco, **quando** for submetida, **então** exigirá aprovação independente antes de publicação.
3. **Dado** uma política publicada, **quando** ocorrer rollback, **então** a versão anterior será reativada atomicamente e novas requisições usarão a versão correta.
**DoD específico.** Simulação sem chamadas externas, fluxo de aprovação, rollback e auditoria de leitura/publicação.
**Assistência de IA.** Claude pode resumir impacto; a decisão de publicação é humana e auditada.
---","",""
"epic","E2","","E2 — Cliente desktop e experiência de confiança","","","","Cliente desktop e experiência de confiança","","","","","","","","","","","",""
"user_story","V1-201","E2","","","V1-201 — Criar shell Electron seguro e IPC mínimo","","Criar shell Electron seguro e IPC mínimo","Feature / Cliente / Segurança","P0","M0","Frontend Desktop / Segurança","L","V1-002, V1-004, V1-101","RF-004; H-005","`electron`, `desktop`, `ipc`, `p0`","Entregar o shell Electron com `contextIsolation`, `sandbox`, `nodeIntegration=false`, CSP, preload mínimo e IPC validado.","1. **Dado** o renderer em execução, **quando** tentar acessar Node, filesystem, subprocesso ou segredo diretamente, **então** o acesso será negado.
2. **Dado** uma chamada IPC, **quando** for enviada, **então** será validada por schema, allowlist, origem e versão do cliente.
3. **Dado** um instalador limpo, **quando** iniciar, **então** conseguirá autenticar e consultar healthcheck sem conter API key de provider.
**DoD específico.** Teste de isolamento, CSP, preload documentado, scanner de dependência e pacote instalável.
**Assistência de IA.** Codex pode criar scaffolding; Segurança revisa IPC e usa red-team antes do aceite.","",""
"user_story","V1-202","E2","","","V1-202 — Implementar onboarding, identidade local e consentimento de contexto","","Implementar onboarding, identidade local e consentimento de contexto","Feature / UX / Privacidade","P0","M0–M1","Frontend / UX / Privacidade","M","V1-201, V1-101","RF-005; H-006","`onboarding`, `local-identity`, `privacy`, `p0`","Coletar nome, cargo, atividades, rotina e preferências com revisão explícita, separando o que ficará local do que será enviado ao gateway.","1. **Dado** o primeiro acesso, **quando** o onboarding for iniciado, **então** o usuário poderá revisar, editar, pausar e concluir os dados sem duplicidade.
2. **Dado** um contexto pessoal, **quando** o usuário confirmar, **então** o sistema indicará campo, escopo, retenção e possibilidade de exclusão.
3. **Dado** um dado marcado como local, **quando** uma requisição for enviada, **então** ele não será anexado automaticamente ao contexto corporativo.
**DoD específico.** Fluxo acessível, arquivos locais versionados, consentimento e testes de retomada.
**Assistência de IA.** Gemini pode propor cópia e variações de onboarding; UX e Privacidade aprovam o conteúdo.","",""
"user_story","V1-203","E2","","","V1-203 — Implementar memória pessoal local, histórico e recuperação em SQLite","","Implementar memória pessoal local, histórico e recuperação em SQLite","Feature / Dados locais","P0","M1–M2","Frontend Desktop / Dados","L","V1-201, V1-202, V1-701","RF-005; RF-026; RN-012; H-007","`memory`, `sqlite`, `privacy`, `p0`","Persistir resumos, preferências, histórico permitido e contexto individual no dispositivo, com recuperação local e sem mistura automática com a memória normativa.","1. **Dado** o encerramento de uma sessão, **quando** o resumo for persistido, **então** terá origem, escopo, data, versão e retenção configurada.
2. **Dado** uma consulta local, **quando** a memória for recuperada, **então** somente itens autorizados ao usuário/dispositivo serão usados.
3. **Dado** que o usuário solicite exclusão, **quando** confirmar, **então** o item será removido localmente e a operação será comprovada sem apagar indevidamente a auditoria mínima.
**DoD específico.** Migrações SQLite, proteção em repouso, limite de armazenamento, recuperação após desligamento e exportação controlada.
**Assistência de IA.** Codex pode implementar repositório e testes; Privacidade revisa retenção e exclusão.","",""
"user_story","V1-204","E2","","","V1-204 — Implementar OAuth local e armazenamento seguro em Keychain","","Implementar OAuth local e armazenamento seguro em Keychain","Feature / Segurança","P0","M1–M4","Frontend Desktop / Segurança","L","V1-201, V1-101, V1-006","RF-006; H-008","`oauth`, `keychain`, `tokens`, `p0`","Conectar integrações autorizadas pelo colaborador sem armazenar tokens em arquivos, SQLite, logs ou contexto de modelo.","1. **Dado** uma conexão OAuth, **quando** o callback for concluído, **então** tokens serão armazenados no Keychain/Vault adequado e somente referências serão mantidas no cliente.
2. **Dado** token expirado, desconectado ou revogado, **quando** a integração for usada, **então** a interface indicará recuperação segura sem expor o token.
3. **Dado** uma cópia do diretório local do app, **quando** for inspecionada, **então** não conterá token utilizável.
**DoD específico.** Conectar, renovar, desconectar, revogar, testar em sistemas suportados e auditar sem segredo.
**Assistência de IA.** Codex pode escrever adapters; Segurança valida fluxo OAuth e armazenamento em cada SO suportado.","",""
"user_story","V1-205","E2","","","V1-205 — Criar Design System, acessibilidade e estados semânticos","","Criar Design System, acessibilidade e estados semânticos","UX/UI / Frontend / A11y","P0","M0–M2","UX/UI / Frontend","L","V1-001, V1-002, V1-003, V1-004","RF-004; RF-024–RF-026; RF-048; NFR de acessibilidade, consistência visual e UX de confiança; PRD 1.8; DESIGN_SYSTEM_VALIDACAO","`design-system`, `shadcn`, `tokens`, `wcag`, `a11y`, `light-dark`, `compact`, `p0`","Criar a biblioteca de interface Domus sobre shadcn/ui, Tailwind CSS, Radix UI e Lucide Icons, usando tokens BetaUp, temas light/dark, densidades `default`/`compact`, variantes de Button sem Indigo/Violeta e os oito estados semânticos da IA para Electron, painel e workbenches.","1. **Dado** o repositório configurado, **quando** os primitivos forem implementados, **então** Button, Badge, Alert, Card, Dialog, Sheet, Table, Tabs, Command, Tooltip, Select e Skeleton usarão tokens semânticos e variantes versionadas do shadcn/ui, sem hexadecimais diretos fora dos arquivos de tokens/testes.
2. **Dado** qualquer variante de Button, **quando** seus estilos forem compilados, renderizados ou revisados, **então** não conterão Core Indigo `#271BAE`, Beta Violet `#310AE3`, `bg-indigo-*`, `bg-violet-*`, `brand-depth` ou `brand-secondary` em background, hover, active ou borda ativa.
3. **Dado** uma resposta ou insight da IA, **quando** for renderizado, **então** usará o estado de contrato Fundamentada, Parcial, Conflitante, Inferida, Sem evidência, Obsoleta, Bloqueada ou Inconclusiva com label, ícone, descrição, tom e próxima ação, sem depender apenas da cor.
4. **Dado** um fluxo Chat, Evidence, Knowledge Workbench, Intelligence Workbench ou Action Review, **quando** alternar entre light/dark e `default`/`compact`, **então** manterá semântica, contraste, foco e hierarquia informacional.
5. **Dado** um Select ou lista de governança, **quando** for renderizado, **então** nenhum `Select.Item` terá valor vazio e as opções serão alfabéticas salvo ordenação de prioridade, risco ou recência explicitamente declarada.
6. **Dado** um fluxo crítico, **quando** os testes de axe-core/Playwright e snapshots forem executados, **então** teclado, foco, leitor de tela, zoom de 200%, reduced motion, contraste e guardrail de Button passarão sem regressão crítica.
**DoD específico.** Tokens CSS/HSL e TS, variantes `cva` de Button, 12 componentes compostos Domus, documentação, Storybook, snapshots light/dark e `default`/`compact`, axe-core, Playwright, checklist WCAG 2.2 AA, handoff e owners de manutenção.
**Assistência de IA.** Gemini pode gerar variações visuais; Claude/Kimi criticam hierarquia, estados e acessibilidade; Codex implementa componentes e testes; UX, QA e Engenharia aprovam o código e as evidências.","",""
"user_story","V1-206","E2","","","V1-206 — Entregar chat corporativo com streaming, histórico e estados de erro","","Entregar chat corporativo com streaming, histórico e estados de erro","Feature / Frontend","P0","M1–M2","Frontend Desktop / Backend Gateway","L","V1-201, V1-103, V1-205, V1-301, V1-307","RF-007; RF-024; RF-048; H-009; H-011; H-015","`chat`, `streaming`, `history`, `p0`","Criar a experiência principal de pergunta, resposta incremental, cancelamento, histórico e tratamento explicável de falha, bloqueio e ausência de evidência.","1. **Dado** uma requisição autorizada, **quando** o gateway transmitir eventos, **então** o cliente exibirá `StreamingIndicator`/`AiResponseCard`, streaming tipado, status, citações e conclusão sem API key.
2. **Dado** bloqueio por policy, budget, timeout ou provider, **quando** o evento terminal chegar, **então** a interface apresentará o estado correto com label, ícone, descrição e próxima ação segura, distinguindo falha técnica, bloqueio, ausência de evidência e conflito.
3. **Dado** histórico classificado, **quando** for salvo, **então** respeitará retenção, escopo e exclusão definidos.
4. **Dado** o chat em light/dark ou `default`/`compact`, **quando** o usuário navegar por teclado ou zoom de 200%, **então** streaming, foco, `aria-live`, contraste e leitura não sofrerão regressão.
**DoD específico.** SSE, cancelamento, reconexão segura, `AiResponseCard`, `StreamingIndicator`, testes de evento, histórico, estados semânticos, snapshots visuais e axe/Playwright.
**Assistência de IA.** Codex implementa componentes e testes; Claude revisa concorrência, cancelamento e manipulação de erro.","",""
"user_story","V1-207","E2","","","V1-207 — Implementar experiência de citações, evidências e proveniência","","Implementar experiência de citações, evidências e proveniência","UX / Frontend / Knowledge","P0","M2–M3","UX/UI / Frontend / Intelligence","L","V1-205, V1-206, V1-405, V1-411, V1-501","RF-019; RF-024; RF-025; H-029; INTEL-002","`citations`, `evidence`, `provenance`, `p0`","Permitir que o usuário inspecione fonte, versão, seção, owner, vigência, escopo e confiança sem abandonar a tarefa.","1. **Dado** uma afirmação factual, **quando** o usuário abrir a `CitationPill`, **então** o `EvidenceSheet` exibirá o trecho exato, documento, versão, seção, owner e vigência autorizados.
2. **Dado** fonte obsoleta ou conflitante, **quando** a evidência for aberta, **então** o `SourceFreshnessBadge`/alerta aparecerá antes da interpretação, indicará a divergência e preservará as fontes lado a lado.
3. **Dado** uma evidência fora do escopo, **quando** a API retornar, **então** a UI não exibirá trecho, título, tooltip, `aria-label` ou metadado que revele conteúdo protegido.
4. **Dado** o modo compacto ou um viewport ampliado, **quando** o painel for aberto e fechado por teclado, **então** foco, leitura, scroll, contraste e ordem de conteúdo permanecerão corretos.
**DoD específico.** `CitationPill`, `EvidenceSheet`, `SourceFreshnessBadge`, painel lateral, deep link seguro, estados de loading/erro/bloqueio, snapshots light/dark, testes de acessibilidade e dados sintéticos.
**Assistência de IA.** Gemini pode apoiar prototipagem; Codex implementa componentes; UX e Segurança validam a exposição mínima.","",""
"user_story","V1-208","E2","","","V1-208 — Implementar workspace de skills locais com limites de segurança","","Implementar workspace de skills locais com limites de segurança","Feature / Cliente / Governança","P1","M2","Frontend Desktop / Policy","M","V1-202, V1-203, V1-104","RF-005; H-010","`skills`, `local`, `workspace`, `p1`","Permitir skills locais editáveis sem que instruções pessoais concedam novos modelos, ferramentas, permissões ou egress.","1. **Dado** uma skill local, **quando** for salva, **então** terá nome, versão, autor, escopo, tamanho máximo, estado e data.
2. **Dado** uma skill que tente conceder Bash, Write, MCP ou modelo não permitido, **quando** for ativada, **então** será bloqueada ou reduzida pela `EffectivePolicy`.
3. **Dado** o usuário solicitar exportação ou exclusão, **quando** confirmar, **então** a operação ocorrerá sem incluir secrets ou memória não selecionada.
**DoD específico.** Editor, validação, ativar/desativar, duplicar, exportar, excluir e testes de prompt injection.
**Assistência de IA.** Codex pode gerar editor e schemas; Segurança revisa que skill nunca é policy.
---","",""
"epic","E3","","E3 — Harness, gateway e economia de IA","","","","Harness, gateway e economia de IA","","","","","","","","","","","",""
"user_story","V1-301","E3","","","V1-301 — Implementar Model Gateway TypeScript/Fastify","","Implementar Model Gateway TypeScript/Fastify","Feature / Backend / Segurança","P0","M1","Backend TypeScript","XL","V1-003, V1-006, V1-101, V1-103, V1-302","RF-007; H-011","`gateway`, `fastify`, `llm`, `p0`","Criar o único ponto autorizado para admitir requests, resolver policy, controlar orçamento, redigir dados, chamar providers e transmitir respostas.","1. **Dado** um request de cliente ou worker, **quando** chegar ao gateway, **então** será validado por autenticação, tenant, workspace, schema, policy, classificação, budget e `request_id`.
2. **Dado** uma chamada permitida, **quando** o provider for invocado, **então** a credencial será injetada server-side e nenhum cabeçalho ou segredo interno retornará ao consumidor.
3. **Dado** um provider, payload, modelo ou contexto não permitido, **quando** o request for processado, **então** será negado com erro tipado e auditoria.
**DoD específico.** Endpoints REST/SSE, cliente interno para Python, erros, timeouts, métricas, tracing e testes de contrato.
**Assistência de IA.** Codex implementa vertical slices; Claude revisa segurança e Fastify; merge exige revisão humana de egress.","",""
"user_story","V1-302","E3","","","V1-302 — Implementar Vault server-side, credenciais e rotação de providers","","Implementar Vault server-side, credenciais e rotação de providers","Feature / Segurança","P0","M1","Segurança / DevOps / Backend TypeScript","L","V1-006, V1-301","RF-006; H-012","`vault`, `secrets`, `rotation`, `p0`","Proteger API keys e credenciais pagas pela empresa, permitindo cadastro, teste, rotação, revogação e uso por identidade de serviço.","1. **Dado** uma credencial cadastrada, **quando** o gateway precisar do provider, **então** lerá o segredo por referência autorizada, sem persisti-lo no PostgreSQL, cliente ou logs.
2. **Dado** uma rotação, **quando** a nova versão for ativada, **então** novas chamadas usarão a credencial nova e a antiga poderá ser revogada sem reinstalar clientes.
3. **Dado** telemetria ou erro, **quando** o scanner rodar, **então** não encontrará o segredo em logs, traces, métricas, artefatos ou respostas.
**DoD específico.** Políticas de Vault, workload identity, rotação, teste de provider e redaction.
**Assistência de IA.** Codex gera adapter; Segurança e DevOps revisam permissões e rotação em ambiente isolado.","",""
"user_story","V1-303","E3","","","V1-303 — Implementar catálogo de providers, modelos, capacidades e roteamento","","Implementar catálogo de providers, modelos, capacidades e roteamento","Feature / Backend / Admin","P0","M1","Backend TypeScript / Produto","L","V1-104, V1-302","RF-008; H-013","`models`, `providers`, `routing`, `p0`","Cadastrar modelos com capacidades, contexto, preço, classificação, limites, status, fallback e regras de uso por tarefa.","1. **Dado** um modelo, **quando** for publicado, **então** terá ID, provider, capacidades, input/output price, limite, classificação, disponibilidade e versão de preço.
2. **Dado** uma tarefa, **quando** o roteador selecionar modelo, **então** escolherá apenas modelo ativo, credenciado, compatível com classificação, custo, contexto e policy.
3. **Dado** fallback configurado, **quando** o provider principal falhar, **então** o fallback respeitará custo, privacidade e capacidade ou negará a operação.
**DoD específico.** Catálogo admin, roteamento determinístico, fallback, versionamento e testes.
**Assistência de IA.** Claude pode revisar matriz de seleção; Product Owner aprova defaults e limites de custo.","",""
